,0
641,404575
642,413360
643,422145
644,430930
645,439715
646,448500
647,457285
648,466070
649,483640
650,492425
651,501210
652,509995
653,518780
654,527565
655,536350
656,545135
657,553920
658,562705
659,580275
660,589060
661,597845
662,606630
663,615415
664,624200
665,641770
666,489
667,97124
668,193759
669,290394
670,387029
671,474879
672,571514
673,633009
674,668146
675,9274
676,18059
677,26844
678,35629
679,44414
680,53199
681,70769
682,79554
683,88339
684,105909
685,114694
686,123479
687,132264
688,141049
689,149834
690,158619
691,167404
692,176189
693,184974
694,202544
695,211329
696,220114
697,228899
698,237684
699,246469
700,255254
701,264039
702,272824
703,281609
704,299179
705,307964
706,316749
707,325534
708,334319
709,343104
710,351889
711,360674
712,369459
713,378244
714,395814
715,404599
716,413384
717,422169
718,430954
719,439739
720,448524
721,457309
722,466094
723,483664
724,492449
725,501234
726,510019
727,518804
728,527589
729,536374
730,545159
731,553944
732,562729
733,580299
734,589084
735,597869
736,606654
737,615439
738,624224
739,641794
740,513
741,97148
742,193783
743,290418
744,387053
745,474903
746,571538
747,633033
748,668170
749,9298
750,18083
751,26868
752,35653
753,44438
754,53223
755,70793
756,79578
757,88363
758,105933
759,114718
760,123503
761,132288
762,141073
763,149858
764,158643
765,167428
766,176213
767,184998
768,202568
769,211353
770,220138
771,228923
772,237708
773,246493
774,255278
775,264063
776,272848
777,281633
778,299203
779,307988
780,316773
781,325558
782,334343
783,343128
784,351913
785,360698
786,369483
787,378268
788,395838
789,404623
790,413408
791,422193
792,430978
793,439763
794,448548
795,457333
796,466118
797,483688
798,492473
799,501258
800,510043
801,518828
802,527613
803,536398
804,545183
805,553968
806,562753
807,580323
808,589108
809,597893
810,606678
811,615463
812,624248
813,641818
814,537
815,97172
816,193807
817,290442
818,387077
819,474927
820,571562
821,633057
822,668194
823,9322
824,18107
825,26892
826,35677
827,44462
828,53247
829,70817
830,79602
831,88387
832,105957
833,114742
834,123527
835,132312
836,141097
837,149882
838,158667
839,167452
840,176237
841,185022
842,202592
843,211377
844,220162
845,228947
846,237732
847,246517
848,255302
849,264087
850,272872
851,281657
852,299227
853,308012
854,316797
855,325582
856,334367
857,343152
858,351937
859,360722
860,369507
861,378292
862,395862
863,404647
864,413432
865,422217
866,431002
867,439787
868,448572
869,457357
870,466142
871,483712
872,492497
873,501282
874,510067
875,518852
876,527637
877,536422
878,545207
879,553992
880,562777
881,580347
882,589132
883,597917
884,606702
885,615487
886,624272
887,641842
888,561
889,97196
890,193831
891,290466
892,387101
893,474951
894,571586
895,633081
896,668218
897,9346
898,18131
899,26916
900,35701
901,44486
902,53271
903,70841
904,79626
905,88411
906,105981
907,114766
908,123551
909,132336
910,141121
911,149906
912,158691
913,167476
914,176261
915,185046
916,202616
917,211401
918,220186
919,228971
920,237756
921,246541
922,255326
923,264111
924,272896
925,281681
926,299251
927,308036
928,316821
929,325606
930,334391
931,343176
932,351961
933,360746
934,369531
935,378316
936,395886
937,404671
938,413456
939,422241
940,431026
941,439811
942,448596
943,457381
944,466166
945,483736
946,492521
947,501306
948,510091
949,518876
950,527661
951,536446
952,545231
953,554016
954,562801
955,580371
956,589156
957,597941
958,606726
959,615511
960,624296
961,641866
962,585
963,97220
964,193855
965,290490
966,387125
967,474975
968,571610
969,633105
970,668242
971,9370
972,18155
973,26940
974,35725
975,44510
976,53295
977,70865
978,79650
979,88435
980,106005
981,114790
982,123575
983,132360
984,141145
985,149930
986,158715
987,167500
988,176285
989,185070
990,202640
991,211425
992,220210
993,228995
994,237780
995,246565
996,255350
997,264135
998,272920
999,281705
1000,299275
1001,308060
1002,316845
1003,325630
1004,334415
1005,343200
1006,351985
1007,360770
1008,369555
1009,378340
1010,395910
1011,404695
1012,413480
1013,422265
1014,431050
1015,439835
